FP1	FP2
301.312	359.844
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
301.312	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	359.844
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	359.844
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
304.102	359.844
306.892	359.844
304.102	359.844
304.102	357.042
304.102	357.042
304.102	359.844
306.892	359.844
304.102	357.042
304.102	357.042
304.102	357.042
304.102	359.844
304.102	357.042
304.102	357.042
306.892	357.042
304.102	359.844
304.102	357.042
304.102	359.844
304.102	359.844
306.892	359.844
304.102	359.844
304.102	357.042
304.102	359.844
304.102	359.844
304.102	359.844
304.102	357.042
304.102	357.042
304.102	357.042
304.102	357.042
306.892	357.042
304.102	357.042
304.102	357.042
304.102	357.042
306.892	357.042
306.892	359.844
306.892	359.844
306.892	357.042
306.892	359.844
306.892	357.042
306.892	357.042
306.892	359.844
306.892	357.042
306.892	357.042
304.102	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	354.239
306.892	357.042
306.892	357.042
309.682	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
309.682	354.239
306.892	354.239
306.892	357.042
309.682	357.042
309.682	357.042
309.682	357.042
309.682	357.042
309.682	354.239
309.682	354.239
309.682	357.042
306.892	354.239
309.682	354.239
306.892	354.239
306.892	354.239
309.682	354.239
309.682	354.239
309.682	354.239
306.892	354.239
306.892	354.239
309.682	354.239
309.682	357.042
309.682	354.239
309.682	354.239
306.892	354.239
309.682	354.239
309.682	354.239
306.892	354.239
309.682	354.239
306.892	351.437
306.892	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
306.892	354.239
306.892	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
306.892	354.239
309.682	354.239
309.682	351.437
306.892	354.239
309.682	351.437
309.682	351.437
309.682	354.239
309.682	354.239
306.892	354.239
309.682	351.437
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
306.892	354.239
309.682	354.239
309.682	351.437
309.682	351.437
309.682	354.239
309.682	351.437
309.682	354.239
309.682	351.437
309.682	351.437
306.892	351.437
309.682	354.239
309.682	354.239
309.682	354.239
309.682	351.437
309.682	351.437
309.682	351.437
309.682	354.239
309.682	354.239
309.682	354.239
309.682	351.437
309.682	351.437
309.682	351.437
309.682	354.239
309.682	351.437
309.682	351.437
309.682	351.437
306.892	351.437
309.682	351.437
309.682	354.239
309.682	351.437
309.682	351.437
309.682	351.437
309.682	354.239
309.682	351.437
309.682	351.437
309.682	351.437
309.682	351.437
309.682	351.437
309.682	351.437
309.682	351.437
309.682	351.437
309.682	351.437
309.682	354.239
309.682	351.437
309.682	354.239
309.682	354.239
309.682	351.437
309.682	354.239
309.682	354.239
309.682	354.239
309.682	351.437
309.682	354.239
309.682	351.437
309.682	351.437
309.682	351.437
309.682	354.239
309.682	351.437
309.682	351.437
309.682	351.437
309.682	351.437
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
312.471	354.239
309.682	354.239
309.682	351.437
309.682	354.239
309.682	354.239
309.682	351.437
309.682	351.437
309.682	354.239
309.682	354.239
312.471	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
306.892	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
306.892	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
306.892	351.437
306.892	351.437
309.682	354.239
309.682	354.239
306.892	354.239
309.682	354.239
309.682	351.437
306.892	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	351.437
309.682	354.239
309.682	354.239
309.682	354.239
306.892	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
306.892	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
306.892	354.239
306.892	351.437
309.682	354.239
306.892	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
306.892	354.239
306.892	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	354.239
306.892	354.239
306.892	354.239
309.682	354.239
309.682	357.042
309.682	354.239
306.892	354.239
306.892	354.239
309.682	354.239
309.682	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
309.682	354.239
309.682	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
309.682	357.042
309.682	357.042
309.682	357.042
309.682	357.042
306.892	354.239
309.682	354.239
309.682	357.042
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	357.042
306.892	357.042
306.892	354.239
306.892	354.239
306.892	354.239
306.892	357.042
309.682	357.042
306.892	354.239
306.892	354.239
306.892	357.042
306.892	354.239
306.892	357.042
306.892	357.042
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	357.042
306.892	354.239
306.892	354.239
306.892	354.239
306.892	357.042
306.892	354.239
306.892	357.042
306.892	357.042
306.892	354.239
306.892	357.042
306.892	354.239
306.892	354.239
306.892	354.239
304.102	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	357.042
306.892	354.239
306.892	354.239
306.892	357.042
306.892	357.042
306.892	354.239
306.892	354.239
306.892	354.239
306.892	357.042
306.892	354.239
306.892	357.042
306.892	357.042
306.892	354.239
306.892	354.239
306.892	354.239
306.892	357.042
306.892	357.042
306.892	354.239
306.892	354.239
306.892	354.239
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	354.239
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	354.239
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	354.239
304.102	354.239
306.892	354.239
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
304.102	357.042
306.892	357.042
306.892	357.042
306.892	357.042
304.102	357.042
306.892	357.042
306.892	357.042
306.892	357.042
304.102	357.042
304.102	357.042
304.102	354.239
304.102	354.239
306.892	357.042
304.102	357.042
304.102	357.042
306.892	357.042
304.102	354.239
304.102	357.042
306.892	357.042
306.892	357.042
306.892	357.042
304.102	357.042
306.892	357.042
306.892	357.042
306.892	357.042
304.102	357.042
304.102	357.042
304.102	354.239
304.102	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
304.102	354.239
304.102	354.239
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
304.102	354.239
306.892	357.042
306.892	354.239
306.892	357.042
306.892	357.042
306.892	357.042
304.102	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	354.239
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
309.682	359.844
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	359.844
306.892	359.844
306.892	359.844
306.892	359.844
309.682	359.844
306.892	359.844
306.892	359.844
306.892	357.042
306.892	359.844
306.892	359.844
309.682	359.844
306.892	357.042
306.892	357.042
306.892	359.844
306.892	359.844
306.892	357.042
306.892	357.042
306.892	359.844
306.892	359.844
306.892	359.844
306.892	359.844
306.892	357.042
306.892	359.844
306.892	357.042
306.892	357.042
306.892	359.844
306.892	359.844
306.892	357.042
306.892	359.844
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	359.844
306.892	359.844
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
304.102	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
304.102	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	354.239
306.892	357.042
304.102	354.239
306.892	354.239
306.892	354.239
306.892	357.042
306.892	354.239
306.892	354.239
306.892	357.042
306.892	357.042
306.892	357.042
306.892	357.042
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
304.102	354.239
304.102	354.239
306.892	354.239
306.892	354.239
306.892	354.239
304.102	354.239
304.102	354.239
304.102	354.239
306.892	357.042
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
304.102	354.239
306.892	354.239
304.102	354.239
304.102	354.239
306.892	354.239
306.892	354.239
304.102	354.239
306.892	354.239
304.102	354.239
304.102	354.239
306.892	357.042
306.892	357.042
306.892	354.239
306.892	354.239
306.892	357.042
306.892	357.042
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
304.102	354.239
306.892	357.042
306.892	354.239
306.892	354.239
306.892	354.239
306.892	357.042
306.892	357.042
309.682	357.042
306.892	354.239
306.892	357.042
306.892	357.042
306.892	354.239
306.892	357.042
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
309.682	357.042
306.892	357.042
306.892	357.042
306.892	354.239
306.892	354.239
309.682	357.042
306.892	357.042
306.892	354.239
309.682	354.239
306.892	354.239
306.892	354.239
306.892	354.239
306.892	354.239
309.682	354.239
306.892	354.239
306.892	354.239
306.892	354.239
309.682	357.042
309.682	357.042
306.892	354.239
306.892	357.042
306.892	354.239
309.682	357.042
306.892	357.042
309.682	354.239
306.892	357.042
306.892	354.239
309.682	354.239
306.892	354.239
309.682	354.239
306.892	354.239
306.892	357.042
306.892	357.042
309.682	357.042
306.892	357.042
306.892	357.042
306.892	357.042
309.682	354.239
309.682	357.042
306.892	357.042
309.682	357.042
309.682	354.239
306.892	354.239
306.892	354.239
309.682	354.239
309.682	354.239
309.682	354.239
309.682	357.042
306.892	354.239
306.892	354.239
309.682	357.042
309.682	357.042
309.682	354.239
309.682	357.042
309.682	357.042
309.682	357.042
306.892	354.239
