FP1	FP2
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
2.790	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
2.790	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
-2.790	-1.114
-2.790	-1.114
0.000	1.688
2.790	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
2.790	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
2.790	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
2.790	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
2.790	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
2.790	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	1.688
-2.790	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
2.790	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
2.790	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
2.790	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
2.790	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
2.790	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
-2.790	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
2.790	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
2.790	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
2.790	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
2.790	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
2.790	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
2.790	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
2.790	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
2.790	-1.114
0.000	1.688
2.790	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
2.790	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
2.790	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
-2.790	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
2.790	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	1.688
0.000	-1.114
0.000	-1.114
0.000	1.688
0.000	1.688
0.000	1.688
2.790	1.688
0.000	1.688
2.790	-1.114
0.000	1.688
