FP1	FP2
309.682	347.52
309.682	347.52
309.682	347.52
312.471	347.52
309.682	347.52
312.471	347.52
309.682	347.52
312.471	347.52
312.471	350.322
312.471	347.52
309.682	347.52
309.682	347.52
309.682	347.52
312.471	347.52
309.682	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	350.322
312.471	347.52
312.471	347.52
312.471	347.52
312.471	350.322
312.471	350.322
312.471	350.322
315.261	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	350.322
312.471	350.322
312.471	350.322
312.471	350.322
312.471	350.322
312.471	350.322
312.471	350.322
312.471	350.322
312.471	347.52
312.471	347.52
312.471	347.52
312.471	350.322
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
315.261	350.322
312.471	347.52
312.471	347.52
315.261	347.52
315.261	350.322
315.261	347.52
315.261	347.52
315.261	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
315.261	347.52
315.261	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	344.717
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	347.52
312.471	344.717
315.261	344.717
315.261	347.52
315.261	347.52
315.261	347.52
315.261	344.717
315.261	344.717
315.261	344.717
315.261	347.52
315.261	344.717
315.261	344.717
315.261	344.717
315.261	344.717
315.261	344.717
315.261	344.717
315.261	344.717
315.261	344.717
315.261	344.717
315.261	344.717
315.261	344.717
315.261	347.52
315.261	344.717
315.261	344.717
318.051	344.717
315.261	347.52
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	344.717
318.051	341.915
318.051	341.915
318.051	341.915
318.051	341.915
318.051	341.915
318.051	344.717
318.051	341.915
318.051	341.915
318.051	341.915
318.051	341.915
318.051	341.915
318.051	341.915
318.051	341.915
318.051	341.915
318.051	341.915
318.051	341.915
318.051	341.915
318.051	341.915
318.051	339.112
318.051	339.112
318.051	341.915
318.051	341.915
318.051	341.915
318.051	341.915
318.051	339.112
318.051	339.112
318.051	339.112
320.841	339.112
320.841	339.112
318.051	339.112
318.051	339.112
320.841	339.112
320.841	339.112
320.841	339.112
320.841	339.112
318.051	339.112
320.841	339.112
320.841	339.112
320.841	339.112
320.841	339.112
320.841	339.112
320.841	336.31
320.841	339.112
320.841	339.112
320.841	339.112
320.841	339.112
320.841	336.31
320.841	336.31
320.841	339.112
323.631	339.112
323.631	339.112
320.841	336.31
320.841	336.31
320.841	336.31
